City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,tuy hoa,13.0833,109.3,85.17,62,89,10.54,VN,2023-08-09 23:46:00
121,longonjo,-12.9067,15.2533,62.82,38,17,2.08,AO,2023-08-09 23:46:01
122,madzhalis,42.1217,47.8333,79.72,56,0,6.29,RU,2023-08-09 23:46:01
123,longboat key,27.4125,-82.659,92.08,64,0,10.36,US,2023-08-09 23:38:22
124,beregovoy,55.173,73.2198,57.25,83,58,9.91,RU,2023-08-09 23:46:01
125,palmer,42.1584,-72.3287,79.41,64,25,7.38,US,2023-08-09 23:46:02
126,atafu village,-8.5421,-172.5159,83.08,77,62,14.67,TK,2023-08-09 23:46:02
127,susuman,62.7833,148.1667,53.13,62,62,2.55,RU,2023-08-09 23:46:02
128,papao,-17.75,-149.55,82.08,73,97,15.03,PF,2023-08-09 23:46:03
129,broken hill,-31.95,141.4333,54.28,60,40,14.5,AU,2023-08-09 23:46:03
130,usinsk,65.9939,57.5281,49.12,80,56,8.72,RU,2023-08-09 23:46:03
131,urucara,-2.5364,-57.76,80.83,63,72,0.63,BR,2023-08-09 23:46:04
132,qaqortoq,60.7167,-46.0333,43.75,81,34,1.97,GL,2023-08-09 23:46:04
133,howard springs,-12.497,131.047,76.91,49,66,11.79,AU,2023-08-09 23:46:04
134,puerto armuelles,8.2833,-82.8667,85.98,91,75,3.0,PA,2023-08-09 23:46:05
135,cambria,35.5641,-121.0808,88.23,84,31,7.0,US,2023-08-09 23:46:05
136,carnarvon,-24.8667,113.6333,68.56,64,8,4.23,AU,2023-08-09 23:46:06
137,haiku-pauwela,20.9219,-156.3051,86.02,52,40,25.32,US,2023-08-09 23:46:06
138,arkhangel'sk,64.5401,40.5433,59.67,93,2,4.99,RU,2023-08-09 23:46:06
139,severo-yeniseyskiy,60.3725,93.0408,54.63,79,12,4.56,RU,2023-08-09 23:46:07
140,booue,-0.0921,11.9385,76.6,73,100,2.44,GA,2023-08-09 23:46:07
141,petropavlovsk-kamchatsky,53.0452,158.6483,64.99,59,20,4.47,RU,2023-08-09 23:46:07
142,mahajanga,-15.7167,46.3167,68.02,94,20,3.44,MG,2023-08-09 23:46:08
143,georgetown,5.4112,100.3354,81.95,94,40,3.44,MY,2023-08-09 23:43:17
144,san antonio de pale,-1.4014,5.6325,74.48,81,97,12.24,GQ,2023-08-09 23:46:08
145,badger,64.8,-147.5333,75.51,72,75,9.22,US,2023-08-09 23:46:08
146,utrik,11.2278,169.8474,82.87,72,62,12.12,MH,2023-08-09 23:46:09
147,khanty-mansiysk,61.0042,69.0019,53.71,82,20,4.47,RU,2023-08-09 23:46:09
148,acarau,-2.8856,-40.12,77.05,82,89,12.24,BR,2023-08-09 23:46:09
149,camden,39.7835,-74.9663,84.83,64,1,1.01,US,2023-08-09 23:42:16
150,pont rouge,48.8833,-72.0825,69.91,84,75,4.23,CA,2023-08-09 23:46:10
151,slave lake,55.2834,-114.769,58.98,98,100,8.05,CA,2023-08-09 23:46:10
152,bowen,-20.0167,148.2333,70.63,63,22,15.05,AU,2023-08-09 23:46:11
153,ryotsu-minato,38.0833,138.4333,85.46,66,11,8.28,JP,2023-08-09 23:46:11
154,fortuna,40.5982,-124.1573,72.93,76,75,12.66,US,2023-08-09 23:46:11
155,zaragoza,41.6561,-0.8773,88.45,48,0,6.91,ES,2023-08-09 23:42:14
156,sault ste. marie,46.5168,-84.3333,70.09,77,40,10.36,CA,2023-08-09 23:43:46
157,at taj,24.2049,23.2857,88.2,29,35,11.43,LY,2023-08-09 23:46:12
158,cockburn town,21.4612,-71.1419,83.75,78,87,17.47,TC,2023-08-09 23:46:12
159,samarinda,-0.5,117.15,78.93,79,100,4.41,ID,2023-08-09 23:46:13
160,klyuchi,52.2667,79.1667,65.5,52,49,5.97,RU,2023-08-09 23:46:13
161,choszczno,53.169,15.4205,53.78,90,100,6.04,PL,2023-08-09 23:46:14
162,fort-shevchenko,44.5086,50.263,81.82,69,0,4.85,KZ,2023-08-09 23:46:14
163,kurumkan,54.3,110.3,62.4,98,100,3.94,RU,2023-08-09 23:46:14
164,chonchi,-42.6128,-73.8092,51.01,88,100,7.92,CL,2023-08-09 23:46:15
165,zeya,53.75,127.2667,74.01,52,14,2.19,RU,2023-08-09 23:46:15
166,ilulissat,69.2167,-51.1,42.82,93,40,8.05,GL,2023-08-09 23:46:15
167,hadibu,12.65,54.0333,77.83,81,95,18.57,YE,2023-08-09 23:46:16
168,zafar,40.9833,68.9,78.35,36,0,0.87,UZ,2023-08-09 23:46:16
169,cukai,4.25,103.4167,77.0,90,79,4.79,MY,2023-08-09 23:46:16
170,puerto baquerizo moreno,-0.9,-89.6,74.8,78,87,8.41,EC,2023-08-09 23:46:17
171,chifeng,42.2683,118.9636,73.69,64,1,6.8,CN,2023-08-09 23:46:17
172,sao jose da coroa grande,-8.8978,-35.1478,74.91,77,6,10.98,BR,2023-08-09 23:46:18
173,castillos,-34.1667,-53.8333,58.33,88,84,11.23,UY,2023-08-09 23:46:18
174,kodiak,57.79,-152.4072,58.51,72,100,8.05,US,2023-08-09 23:41:42
175,minas de marcona,-15.2119,-75.1103,56.37,82,10,11.16,PE,2023-08-09 23:46:19
176,dunedin,-45.8742,170.5036,44.8,62,54,11.01,NZ,2023-08-09 23:46:19
177,ola,59.5833,151.2833,64.15,54,5,2.51,RU,2023-08-09 23:46:19
178,northam,51.0333,-4.2167,62.62,95,53,7.18,GB,2023-08-09 23:46:20
179,ghadamis,30.1337,9.5007,84.92,27,0,10.67,LY,2023-08-09 23:46:20
180,solnechnyy,50.7214,136.6319,62.98,69,100,7.05,RU,2023-08-09 23:46:20
181,inirida,3.8653,-67.9239,76.73,92,71,1.97,CO,2023-08-09 23:46:21
182,managua,12.1328,-86.2504,92.64,52,20,11.5,NI,2023-08-09 23:42:28
183,mana,5.6592,-53.7767,79.03,86,33,11.61,GF,2023-08-09 23:46:21
184,ceeldheer,3.8488,47.1806,74.71,88,54,16.75,SO,2023-08-09 23:46:22
185,namibe,-15.1961,12.1522,62.02,89,65,8.16,AO,2023-08-09 23:46:22
186,iskateley,67.6803,53.1512,49.87,90,16,5.12,RU,2023-08-09 23:46:22
187,margate,51.3813,1.3862,60.69,80,0,3.0,GB,2023-08-09 23:46:23
188,camarinas,43.1311,-9.1817,68.94,84,74,16.84,ES,2023-08-09 23:46:23
189,aberdeen,57.1437,-2.0981,54.54,95,92,3.44,GB,2023-08-09 23:42:23
190,colares,38.7992,-9.4469,70.75,85,0,15.99,PT,2023-08-09 23:46:24
191,fale old settlement,-9.3852,-171.2468,82.76,79,55,15.59,TK,2023-08-09 23:46:24
192,thompson,55.7435,-97.8558,68.16,45,40,6.91,CA,2023-08-09 23:42:18
193,vadso,70.0744,29.7487,68.88,82,12,5.75,NO,2023-08-09 23:46:25
194,whitehorse,60.7161,-135.0538,72.01,41,75,2.3,CA,2023-08-09 23:41:51
195,schuyler,42.4167,-76.883,78.78,76,41,5.5,US,2023-08-09 23:43:16
196,corner brook,48.9667,-57.9484,59.16,95,100,13.53,CA,2023-08-09 23:46:25
197,mapalacsiao,15.43,120.6497,81.77,81,94,1.72,PH,2023-08-09 23:46:26
198,inderbor,48.55,51.7833,74.68,43,43,8.84,KZ,2023-08-09 23:46:26
199,lhasa,29.65,91.1,57.16,80,47,1.7,CN,2023-08-09 23:46:26
200,ulladulla,-35.35,150.4667,67.03,39,97,14.2,AU,2023-08-09 23:46:27
201,la passe,45.5549,-0.8967,71.83,51,42,11.79,FR,2023-08-09 23:46:27
202,talnakh,69.4865,88.3972,56.21,65,100,6.51,RU,2023-08-09 23:46:27
203,juneau,58.3019,-134.4197,60.22,97,100,11.5,US,2023-08-09 23:41:29
204,touros,-5.1989,-35.4608,75.88,82,65,13.98,BR,2023-08-09 23:46:28
205,tindouf,27.6711,-8.1474,100.85,10,0,6.91,DZ,2023-08-09 23:46:28
206,hwange,-18.3693,26.5019,59.94,36,0,8.55,ZW,2023-08-09 23:45:38
207,ad darb,17.7229,42.2526,91.09,42,67,8.1,SA,2023-08-09 23:46:29
208,karratha,-20.7377,116.8463,71.6,41,0,5.99,AU,2023-08-09 23:46:29
209,el porvenir,13.7617,-87.3458,88.93,54,89,3.27,HN,2023-08-09 23:46:30
210,hamilton,39.1834,-84.5333,77.85,85,100,11.5,US,2023-08-09 23:44:35
211,capoocan,11.2933,124.6419,84.38,74,98,4.45,PH,2023-08-09 23:46:30
212,port douglas,-16.4833,145.4667,72.37,74,85,15.73,AU,2023-08-09 23:46:31
213,yerkoy,39.6381,34.4672,67.8,80,12,3.36,TR,2023-08-09 23:46:31
214,porto novo,6.4965,2.6036,78.62,86,100,8.52,BJ,2023-08-09 23:46:32
215,natal,-5.795,-35.2094,74.05,100,40,12.66,BR,2023-08-09 23:44:04
216,hirara,24.8,125.2833,84.47,89,40,2.3,JP,2023-08-09 23:46:32
217,jasper,37.2001,-94.3502,80.98,88,75,4.61,US,2023-08-09 23:41:45
218,ar rutbah,33.0381,40.2848,85.68,15,0,10.29,IQ,2023-08-09 23:46:33
219,caleta de carquin,-11.0925,-77.6267,66.97,81,38,11.99,PE,2023-08-09 23:46:33
220,al jawf,29.5,38.75,85.95,25,0,7.52,SA,2023-08-09 23:46:33
221,tazovsky,67.4667,78.7,47.14,80,81,20.2,RU,2023-08-09 23:46:34
222,sumbe,-11.2061,13.8437,66.69,91,32,8.32,AO,2023-08-09 23:46:34
223,saldanha,-33.0117,17.9442,53.65,72,0,6.82,ZA,2023-08-09 23:46:34
224,horsham,51.064,-0.3272,62.56,84,0,1.14,GB,2023-08-09 23:46:35
225,hotan,37.0997,79.9269,79.27,32,31,3.15,CN,2023-08-09 23:46:35
226,salekhard,66.53,66.6019,49.78,79,19,5.61,RU,2023-08-09 23:46:36
227,rio grande,-32.035,-52.0986,60.94,91,100,19.48,BR,2023-08-09 23:46:36
228,callao,-12.0667,-77.15,72.72,73,100,13.8,PE,2023-08-09 23:46:36
229,punta arenas,-53.15,-70.9167,36.43,91,100,7.65,CL,2023-08-09 23:42:03
230,berdigestyakh,62.0989,126.6992,67.68,46,11,9.8,RU,2023-08-09 23:46:37
231,jiangzi,28.95,89.6333,48.11,69,77,4.12,CN,2023-08-09 23:46:37
232,el carmen,8.5106,-73.4478,71.4,93,97,3.24,CO,2023-08-09 23:46:37
233,oranjemund,-28.55,16.4333,70.3,30,1,4.25,NA,2023-08-09 23:46:37
234,francisco javier mina,24.4934,-104.4857,62.71,52,83,11.68,MX,2023-08-09 23:46:38
235,trelew,-43.249,-65.3051,62.47,32,94,20.49,AR,2023-08-09 23:46:38
236,itamaraca,-7.7478,-34.8256,78.85,77,38,11.07,BR,2023-08-09 23:46:38
237,rocky mountain house,52.3668,-114.9188,66.31,82,99,5.75,CA,2023-08-09 23:46:39
238,lebu,-37.6167,-73.65,53.55,89,100,12.46,CL,2023-08-09 23:46:39
239,port alfred,-33.5906,26.891,59.18,89,19,3.0,ZA,2023-08-09 23:46:39
240,juan griego,11.0817,-63.9655,69.93,100,98,3.44,VE,2023-08-09 23:46:40
241,kalmunai,7.4167,81.8167,78.55,82,100,5.73,LK,2023-08-09 23:46:40
242,cabo san lucas,22.8909,-109.9124,95.61,66,100,8.05,MX,2023-08-09 23:44:26
243,mrakovo,52.7161,56.6244,55.9,91,2,5.61,RU,2023-08-09 23:46:40
244,crane,31.3974,-102.3501,105.03,12,3,7.4,US,2023-08-09 23:46:41
245,jinghong,21.991,100.7341,71.6,99,98,0.38,CN,2023-08-09 23:46:41
246,ancud,-41.8697,-73.8203,51.03,82,91,16.67,CL,2023-08-09 23:46:41
247,sandnessjoen,66.0217,12.6316,63.12,74,0,12.03,NO,2023-08-09 23:46:41
248,happy valley-goose bay,53.3168,-60.3315,62.91,82,100,8.05,CA,2023-08-09 23:46:42
249,tolanaro,-25.0319,46.9987,66.27,94,20,9.22,MG,2023-08-09 23:46:42
250,hugo,45.16,-92.9933,80.65,60,40,8.05,US,2023-08-09 23:46:42
251,al ghayzah,16.2079,52.176,77.81,92,80,9.1,YE,2023-08-09 23:46:43
252,harper,4.375,-7.7169,75.67,82,100,11.9,LR,2023-08-09 23:46:43
253,auki,-8.7676,160.7034,79.3,89,97,11.52,SB,2023-08-09 23:46:43
254,tam ky,15.5667,108.4833,83.44,63,99,6.13,VN,2023-08-09 23:46:43
255,la mira tumbiscatio,18.6833,-102.2833,79.7,82,56,4.76,MX,2023-08-09 23:46:44
256,barranca,-10.75,-77.7667,66.13,81,32,9.13,PE,2023-08-09 23:46:44
257,galliano,29.4422,-90.2992,93.2,66,40,11.5,US,2023-08-09 23:42:19
258,rzepin,52.3464,14.8323,54.18,80,86,5.14,PL,2023-08-09 23:46:44
259,yurga,55.7231,84.8861,57.56,87,57,5.88,RU,2023-08-09 23:46:45
260,puerto deseado,-47.7503,-65.8938,50.05,74,97,13.22,AR,2023-08-09 23:46:45
261,kasaragod,12.5,75.0,75.42,94,66,3.76,IN,2023-08-09 23:46:45
262,qarazhal,48.0078,70.7903,71.89,60,76,11.32,KZ,2023-08-09 23:46:45
263,mahina,-17.5065,-149.489,82.17,61,40,5.75,PF,2023-08-09 23:46:46
264,mamuju,-2.6748,118.8885,79.52,80,77,2.75,ID,2023-08-09 23:46:46
265,kajaani,64.2273,27.7285,55.45,94,59,1.14,FI,2023-08-09 23:46:46
266,banapur,19.7833,85.1833,81.66,73,82,5.19,IN,2023-08-09 23:46:47
267,dudinka,69.4058,86.1778,56.62,69,100,20.13,RU,2023-08-09 23:46:47
268,monchique,37.3177,-8.5553,67.14,89,0,6.42,PT,2023-08-09 23:46:47
269,lewiston orchards,46.3804,-116.9754,82.83,36,20,8.05,US,2023-08-09 23:46:47
270,banda aceh,5.5577,95.3222,79.0,80,69,10.83,ID,2023-08-09 23:46:48
271,angaur state,6.906,134.13,83.1,80,87,20.29,PW,2023-08-09 23:46:48
272,port lincoln,-34.7333,135.8667,56.08,60,39,7.99,AU,2023-08-09 23:46:48
273,san juan,-31.5375,-68.5364,62.19,30,63,4.0,AR,2023-08-09 23:44:00
274,gisborne,-38.6533,178.0042,53.47,67,100,10.76,NZ,2023-08-09 23:46:49
275,kudahuvadhoo,2.6708,72.8944,80.98,78,86,12.82,MV,2023-08-09 23:46:49
276,tongliao,43.6125,122.2653,70.84,76,0,10.49,CN,2023-08-09 23:46:49
277,kavaratti,10.5669,72.642,81.75,79,100,17.13,IN,2023-08-09 23:46:50
278,tidjikja,18.5564,-11.4271,93.02,22,14,12.1,MR,2023-08-09 23:46:50
279,pariaman,-0.619,100.12,77.05,89,95,4.47,ID,2023-08-09 23:46:50
280,ebon,4.582,168.6964,82.0,73,98,1.57,MH,2023-08-09 23:46:50
281,slupsk,54.4641,17.0287,50.45,91,99,8.48,PL,2023-08-09 23:46:51
282,udachny,66.4167,112.4,67.64,47,32,13.27,RU,2023-08-09 23:46:52
283,vila franca do campo,37.7167,-25.4333,73.81,95,98,7.09,PT,2023-08-09 23:46:53
284,igarka,67.4667,86.5833,57.0,93,100,4.03,RU,2023-08-09 23:46:53
285,saynshand,44.8824,110.1163,76.57,42,98,16.51,MN,2023-08-09 23:46:54
286,ndende,-2.4008,11.3581,73.33,76,88,3.58,GA,2023-08-09 23:46:54
287,remire-montjoly,4.9167,-52.2667,80.64,83,0,8.05,GF,2023-08-09 23:46:55
288,tongouson,5.0214,120.1328,83.44,72,86,5.95,PH,2023-08-09 23:46:55
289,aoulef,26.9667,1.0833,95.65,11,0,14.18,DZ,2023-08-09 23:46:56
290,guankou,28.15,113.6333,78.6,88,32,1.54,CN,2023-08-09 23:46:56
291,uturoa,-16.7333,-151.4333,77.02,71,45,18.07,PF,2023-08-09 23:46:56
292,srinagar,34.0833,74.8167,67.77,79,88,1.05,IN,2023-08-09 23:42:13
293,tofol,5.3248,163.0078,87.58,70,75,16.11,FM,2023-08-09 23:46:57
294,playa de san juan,38.3719,-0.4153,80.6,84,0,3.44,ES,2023-08-09 23:46:57
295,istaravshan,39.9142,69.0033,72.77,41,0,1.52,TJ,2023-08-09 23:46:57
296,huntsville,34.7304,-86.5861,71.85,98,100,3.44,US,2023-08-09 23:40:57
297,salto,-31.3833,-57.9667,63.88,82,51,7.0,UY,2023-08-09 23:46:58
298,pionerskiy,54.9508,20.2275,51.64,71,95,11.7,RU,2023-08-09 23:46:58
299,kayes,14.0,-11.0,80.6,66,76,6.58,ML,2023-08-09 23:46:58
300,daru,-9.0763,143.2092,76.05,82,88,14.79,PG,2023-08-09 23:46:58
301,soran,49.78,72.8506,64.89,70,85,6.58,KZ,2023-08-09 23:46:59
